id;nombreestudiante;email;telefono
1;Avon Checking Tácticas;Olivia.Raya88@hotmail.com;Moroccan cross-platform Organizado
2;Cine;Alberto_Brito43@hotmail.com;program payment synthesizing
3;Atún Intercambiable Hormigon;Susana_Prez0@yahoo.com;Extremadura escalable compress
4;Violeta impactful Swedish;Josefina_Paredes@hotmail.com;Heredado ubiquitous
5;solid Philippine payment;Sancho_Garca@gmail.com;explícita Moda
6;Asociado indexing Blanco;David50@gmail.com;withdrawal Dinamarca navigate
7;turn-key;ngela_Valenzuela@gmail.com;Web embrace
8;Tunez;Leonor55@gmail.com;Personal configurable Rial
9;Productor Partida;Victoria_Bonilla65@hotmail.com;PCI Bricolaje
10;Lempira Personal;Santiago.Alonzo@gmail.com;empower
